Sim ID,Sample,Agent ID,Strategy,Wins,Losses,Pushes,Total Profit,Avg Profit/Round,Final Bankroll
28,2000,86,basic,893,971,198,-105.00,-0.05,9895.00
28,2000,87,counting,904,979,173,645.00,0.32,10645.00
29,2000,88,unskilled,833,984,203,-3090.00,-1.54,6910.00
29,2000,89,basic,879,1018,140,-1515.00,-0.76,8485.00
29,2000,90,counting,893,975,171,-2220.00,-1.11,7780.00
30,2000,91,unskilled,864,965,190,-1680.00,-0.84,8320.00
30,2000,92,basic,867,1002,174,-2580.00,-1.29,7420.00
30,2000,93,counting,881,995,168,1710.00,0.85,11710.00
31,2000,94,unskilled,802,1010,201,-4980.00,-2.49,5020.00
31,2000,95,basic,906,971,180,1185.00,0.59,11185.00
31,2000,96,counting,890,988,183,-75.00,-0.04,9925.00
32,2000,97,unskilled,851,978,191,-2235.00,-1.12,7765.00
32,2000,98,basic,888,985,187,-285.00,-0.14,9715.00
32,2000,99,counting,888,988,177,4410.00,2.21,14410.00
33,2000,100,unskilled,791,1024,211,-5565.00,-2.78,4435.00
33,2000,101,basic,888,958,197,465.00,0.23,10465.00
33,2000,102,counting,876,1014,176,-2970.00,-1.49,7030.00
34,2000,103,unskilled,847,993,191,-2940.00,-1.47,7060.00
34,2000,104,basic,891,964,186,345.00,0.17,10345.00
34,2000,105,counting,924,978,168,3765.00,1.88,13765.00
35,2000,106,unskilled,823,982,213,-3435.00,-1.72,6565.00
35,2000,107,basic,925,956,166,2400.00,1.20,12400.00
35,2000,108,counting,908,979,181,3465.00,1.73,13465.00
36,2000,109,unskilled,809,986,224,-3885.00,-1.94,6115.00
36,2000,110,basic,868,1022,157,-2295.00,-1.15,7705.00
36,2000,111,counting,887,993,170,5130.00,2.56,15130.00
37,2000,112,unskilled,812,1028,194,-5235.00,-2.62,4765.00
37,2000,113,basic,911,988,157,1215.00,0.61,11215.00
37,2000,114,counting,884,998,164,-915.00,-0.46,9085.00
38,2000,115,unskilled,829,996,206,-3765.00,-1.88,6235.00
38,2000,116,basic,871,989,191,-2100.00,-1.05,7900.00
38,2000,117,counting,923,960,171,8205.00,4.10,18205.00
39,2000,118,unskilled,847,993,190,-2850.00,-1.43,7150.00
39,2000,119,basic,903,975,179,-360.00,-0.18,9640.00
39,2000,120,counting,887,968,192,2580.00,1.29,12580.00
40,2000,121,unskilled,858,962,210,-1635.00,-0.82,8365.00
40,2000,122,basic,944,934,166,2970.00,1.49,12970.00
40,2000,123,counting,903,989,162,-5880.00,-2.94,4120.00
41,2000,124,unskilled,819,985,217,-3480.00,-1.74,6520.00
41,2000,125,basic,875,994,181,-1380.00,-0.69,8620.00
41,2000,126,counting,898,989,174,-225.00,-0.11,9775.00
42,2000,127,unskilled,862,975,187,-1845.00,-0.92,8155.00
42,2000,128,basic,902,974,171,780.00,0.39,10780.00
42,2000,129,counting,901,987,181,2835.00,1.42,12835.00
43,2000,130,unskilled,826,1001,198,-3735.00,-1.87,6265.00
43,2000,131,basic,883,986,180,-735.00,-0.37,9265.00
43,2000,132,counting,910,968,184,8100.00,4.05,18100.00
44,2000,133,unskilled,830,996,196,-3555.00,-1.78,6445.00
44,2000,134,basic,890,985,182,-330.00,-0.17,9670.00
44,2000,135,counting,910,973,154,-4140.00,-2.07,5860.00
45,2000,136,unskilled,830,1000,197,-3570.00,-1.78,6430.00
45,2000,137,basic,884,1012,153,-1770.00,-0.89,8230.00
45,2000,138,counting,878,981,191,2355.00,1.18,12355.00
46,2000,139,unskilled,837,989,195,-3135.00,-1.57,6865.00
46,2000,140,basic,891,966,193,450.00,0.23,10450.00
46,2000,141,counting,913,954,191,5940.00,2.97,15940.00
47,2000,142,unskilled,857,978,198,-2010.00,-1.00,7990.00
47,2000,143,basic,876,981,191,-285.00,-0.14,9715.00
47,2000,144,counting,862,1030,158,-6495.00,-3.25,3505.00
48,2000,145,unskilled,842,967,210,-2280.00,-1.14,7720.00
48,2000,146,basic,901,965,176,915.00,0.46,10915.00
48,2000,147,counting,904,990,163,4425.00,2.21,14425.00
49,2000,148,unskilled,877,951,200,-675.00,-0.34,9325.00
49,2000,149,basic,863,1013,179,-2025.00,-1.01,7975.00
49,2000,150,counting,890,953,198,-1485.00,-0.74,8515.00
50,2000,151,unskilled,844,993,191,-3105.00,-1.55,6895.00
50,2000,152,basic,902,963,189,525.00,0.26,10525.00
50,2000,153,counting,934,962,166,9105.00,4.55,19105.00
51,2000,154,unskilled,845,964,220,-2250.00,-1.12,7750.00
51,2000,155,basic,887,975,184,-195.00,-0.10,9805.00
51,2000,156,counting,893,994,169,-1155.00,-0.58,8845.00
52,2000,157,unskilled,828,1011,179,-3990.00,-2.00,6010.00
52,2000,158,basic,896,992,159,-720.00,-0.36,9280.00
52,2000,159,counting,868,993,182,-5505.00,-2.75,4495.00
53,2000,160,unskilled,854,981,183,-2520.00,-1.26,7480.00
53,2000,161,basic,906,982,171,45.00,0.02,10045.00
53,2000,162,counting,896,964,182,4215.00,2.11,14215.00
54,2000,163,unskilled,798,1008,216,-5175.00,-2.59,4825.00
54,2000,164,basic,879,994,168,-1215.00,-0.61,8785.00
54,2000,165,counting,896,995,163,-3435.00,-1.72,6565.00
55,2000,166,unskilled,858,977,185,-2265.00,-1.13,7735.00
55,2000,167,basic,907,992,159,210.00,0.10,10210.00
55,2000,168,counting,906,984,170,600.00,0.30,10600.00
56,2000,169,unskilled,833,991,209,-3330.00,-1.67,6670.00
56,2000,170,basic,935,958,167,2325.00,1.16,12325.00
56,2000,171,counting,879,976,185,2085.00,1.04,12085.00
57,2000,172,unskilled,828,1000,193,-3960.00,-1.98,6040.00
57,2000,173,basic,889,999,177,-1095.00,-0.55,8905.00
57,2000,174,counting,895,992,165,120.00,0.06,10120.00
58,2000,175,unskilled,864,969,194,-1665.00,-0.83,8335.00
58,2000,176,basic,935,943,177,3120.00,1.56,13120.00
58,2000,177,counting,875,1011,160,-7185.00,-3.59,2815.00
59,2000,178,unskilled,842,981,208,-2565.00,-1.28,7435.00
59,2000,179,basic,866,1002,186,-1905.00,-0.95,8095.00
59,2000,180,counting,919,996,152,4665.00,2.33,14665.00
60,2000,181,unskilled,815,998,221,-4005.00,-2.00,5995.00
60,2000,182,basic,899,973,181,285.00,0.14,10285.00
60,2000,183,counting,879,1002,179,1665.00,0.83,11665.00
61,2000,184,unskilled,849,995,184,-3285.00,-1.64,6715.00
61,2000,185,basic,913,960,178,780.00,0.39,10780.00
61,2000,186,counting,910,1000,156,-960.00,-0.48,9040.00
62,2000,187,unskilled,856,986,200,-2040.00,-1.02,7960.00
62,2000,188,basic,836,1010,197,-3720.00,-1.86,6280.00
62,2000,189,counting,864,983,190,-975.00,-0.49,9025.00
63,2000,190,unskilled,800,1022,196,-5340.00,-2.67,4660.00
63,2000,191,basic,871,1005,177,-1335.00,-0.67,8665.00
63,2000,192,counting,873,1025,162,-405.00,-0.20,9595.00
64,2000,193,unskilled,836,995,191,-3390.00,-1.70,6610.00
64,2000,194,basic,878,980,197,-1275.00,-0.64,8725.00
64,2000,195,counting,913,977,154,2895.00,1.45,12895.00
65,2000,196,unskilled,846,1006,171,-3195.00,-1.60,6805.00
65,2000,197,basic,896,1005,153,-555.00,-0.28,9445.00
65,2000,198,counting,875,983,174,-1545.00,-0.77,8455.00
66,2000,199,unskilled,823,1013,191,-4260.00,-2.13,5740.00
66,2000,200,basic,854,994,213,-2385.00,-1.19,7615.00
66,2000,201,counting,892,1011,166,3465.00,1.73,13465.00
67,2000,202,unskilled,811,1024,196,-4845.00,-2.42,5155.00
67,2000,203,basic,901,995,158,240.00,0.12,10240.00
67,2000,204,counting,908,971,179,7260.00,3.63,17260.00
68,2000,205,unskilled,857,964,195,-1665.00,-0.83,8335.00
68,2000,206,basic,920,984,167,1440.00,0.72,11440.00
68,2000,207,counting,870,1017,169,-5220.00,-2.61,4780.00
69,2000,208,unskilled,829,1002,193,-3720.00,-1.86,6280.00
69,2000,209,basic,876,1026,153,-1845.00,-0.92,8155.00
69,2000,210,counting,861,987,204,-2595.00,-1.30,7405.00
70,2000,211,unskilled,849,977,200,-2325.00,-1.16,7675.00
70,2000,212,basic,936,942,180,3045.00,1.52,13045.00
70,2000,213,counting,920,965,163,6585.00,3.29,16585.00
71,2000,214,unskilled,864,988,180,-2280.00,-1.14,7720.00
71,2000,215,basic,907,980,154,-30.00,-0.01,9970.00
71,2000,216,counting,904,973,182,-5700.00,-2.85,4300.00
72,2000,217,unskilled,848,966,207,-1950.00,-0.97,8050.00
72,2000,218,basic,886,955,197,510.00,0.26,10510.00
72,2000,219,counting,885,982,192,-1650.00,-0.82,8350.00
73,2000,220,unskilled,840,1009,189,-3495.00,-1.75,6505.00
73,2000,221,basic,902,979,169,510.00,0.26,10510.00
73,2000,222,counting,869,1025,158,-5205.00,-2.60,4795.00
74,2000,223,unskilled,854,974,197,-2130.00,-1.06,7870.00
74,2000,224,basic,879,978,196,-1020.00,-0.51,8980.00
74,2000,225,counting,931,951,165,6255.00,3.13,16255.00
75,2000,226,unskilled,858,976,188,-2115.00,-1.06,7885.00
75,2000,227,basic,926,964,163,1770.00,0.89,11770.00
75,2000,228,counting,922,983,139,-3705.00,-1.85,6295.00
76,2000,229,unskilled,820,1016,193,-4485.00,-2.24,5515.00
76,2000,230,basic,847,999,204,-2655.00,-1.33,7345.00
76,2000,231,counting,834,1036,180,-6750.00,-3.38,3250.00
